family,age,method
Alcedinidae,33.3776,MD-CAT+CASTLES-Pro
Caprimulgidae,18.2206,MD-CAT+CASTLES-Pro
Cardinalidae,10.3263,MD-CAT+CASTLES-Pro
Falconidae,25.0966,MD-CAT+CASTLES-Pro
Icteridae,5.617,MD-CAT+CASTLES-Pro
Irenidae,25.3278,MD-CAT+CASTLES-Pro
Musophagidae,25.1648,MD-CAT+CASTLES-Pro
Odontophoridae,15.2679,MD-CAT+CASTLES-Pro
Otididae,16.5952,MD-CAT+CASTLES-Pro
Paridae,9.0253,MD-CAT+CASTLES-Pro
Procellariidae,12.8574,MD-CAT+CASTLES-Pro
Pteroclidae,15.2518,MD-CAT+CASTLES-Pro
Scolopacidae,14.7545,MD-CAT+CASTLES-Pro
Strigidae,13.3102,MD-CAT+CASTLES-Pro
Sturnidae,15.224,MD-CAT+CASTLES-Pro
Sylviidae,18.2152,MD-CAT+CASTLES-Pro
Thraupidae,10.5366,MD-CAT+CASTLES-Pro
Vireonidae,19.7808,MD-CAT+CASTLES-Pro
Zosteropidae,6.77,MD-CAT+CASTLES-Pro
Alcidae,23.5955,MD-CAT+CASTLES-Pro
Apterygidae,1.5398,MD-CAT+CASTLES-Pro
Corvidae,10.2407,MD-CAT+CASTLES-Pro
Passerellidae,10.6239,MD-CAT+CASTLES-Pro
Scotocercidae,25.3278,MD-CAT+CASTLES-Pro
Accipitridae,7.0968,MD-CAT+CASTLES-Pro
Anatidae,27.91,MD-CAT+CASTLES-Pro
Columbidae,22.5538,MD-CAT+CASTLES-Pro
Fringillidae,11.3131,MD-CAT+CASTLES-Pro
Laridae,16.2732,MD-CAT+CASTLES-Pro
Phalacrocoracidae,3.5272,MD-CAT+CASTLES-Pro
Phasianidae,26.0334,MD-CAT+CASTLES-Pro
Ramphastidae,24.0738,MD-CAT+CASTLES-Pro
Muscicapidae,17.804,MD-CAT+CASTLES-Pro
Cuculidae,53.0864,MD-CAT+CASTLES-Pro
Tinamidae,25.5684,MD-CAT+CASTLES-Pro
Alcedinidae,30.9312,MD-CAT+ConBL
Caprimulgidae,20.9471,MD-CAT+ConBL
Cardinalidae,9.9693,MD-CAT+ConBL
Falconidae,20.4895,MD-CAT+ConBL
Icteridae,6.2478,MD-CAT+ConBL
Irenidae,25.2236,MD-CAT+ConBL
Musophagidae,53.0498,MD-CAT+ConBL
Odontophoridae,14.767,MD-CAT+ConBL
Otididae,18.4715,MD-CAT+ConBL
Paridae,9.0665,MD-CAT+ConBL
Procellariidae,14.4446,MD-CAT+ConBL
Pteroclidae,16.5235,MD-CAT+ConBL
Scolopacidae,19.5726,MD-CAT+ConBL
Strigidae,13.6898,MD-CAT+ConBL
Sturnidae,15.6401,MD-CAT+ConBL
Sylviidae,18.9544,MD-CAT+ConBL
Thraupidae,10.9856,MD-CAT+ConBL
Vireonidae,17.7477,MD-CAT+ConBL
Zosteropidae,8.3779,MD-CAT+ConBL
Alcidae,22.0999,MD-CAT+ConBL
Apterygidae,2.4263,MD-CAT+ConBL
Corvidae,7.3155,MD-CAT+ConBL
Passerellidae,10.6644,MD-CAT+ConBL
Scotocercidae,21.9492,MD-CAT+ConBL
Accipitridae,9.48,MD-CAT+ConBL
Anatidae,27.91,MD-CAT+ConBL
Columbidae,24.1136,MD-CAT+ConBL
Fringillidae,12.7995,MD-CAT+ConBL
Laridae,15.7772,MD-CAT+ConBL
Phalacrocoracidae,3.8281,MD-CAT+ConBL
Phasianidae,25.1023,MD-CAT+ConBL
Ramphastidae,23.9715,MD-CAT+ConBL
Muscicapidae,16.7633,MD-CAT+ConBL
Cuculidae,50.6606,MD-CAT+ConBL
Tinamidae,25.831,MD-CAT+ConBL
Alcedinidae,32.2849,MCMCtree
Caprimulgidae,25.9092,MCMCtree
Cardinalidae,6.62411,MCMCtree
Falconidae,31.9725,MCMCtree
Icteridae,3.25167,MCMCtree
Irenidae,18.6251,MCMCtree
Musophagidae,25.3536,MCMCtree
Odontophoridae,16.8985,MCMCtree
Otididae,15.8221,MCMCtree
Paridae,6.36865,MCMCtree
Procellariidae,23.8907,MCMCtree
Pteroclidae,15.8105,MCMCtree
Scolopacidae,27.4616,MCMCtree
Strigidae,16.9957,MCMCtree
Sturnidae,10.264,MCMCtree
Sylviidae,12.3267,MCMCtree
Thraupidae,7.68091,MCMCtree
Vireonidae,18.5476,MCMCtree
Zosteropidae,5.46915,MCMCtree
Alcidae,19.2547,MCMCtree
Apterygidae,4.16329,MCMCtree
Corvidae,8.00475,MCMCtree
Passerellidae,7.61213,MCMCtree
Scotocercidae,14.991,MCMCtree
Accipitridae,9.28946,MCMCtree
Anatidae,25.2872,MCMCtree
Columbidae,23.7243,MCMCtree
Fringillidae,7.69711,MCMCtree
Laridae,20.3875,MCMCtree
Phalacrocoracidae,6.24029,MCMCtree
Phasianidae,28.759,MCMCtree
Ramphastidae,28.1048,MCMCtree
Muscicapidae,11.2672,MCMCtree
Cuculidae,48.2722,MCMCtree
Tinamidae,47.848,MCMCtree
Alcedinidae,33.2751,TreePL+CASTLES-Pro
Caprimulgidae,20.3379,TreePL+CASTLES-Pro
Cardinalidae,10.2055,TreePL+CASTLES-Pro
Falconidae,22.9496,TreePL+CASTLES-Pro
Icteridae,3.91875,TreePL+CASTLES-Pro
Irenidae,26.1023,TreePL+CASTLES-Pro
Musophagidae,26.1779,TreePL+CASTLES-Pro
Odontophoridae,16.6113,TreePL+CASTLES-Pro
Otididae,15.2773,TreePL+CASTLES-Pro
Paridae,9.84025,TreePL+CASTLES-Pro
Procellariidae,14.6934,TreePL+CASTLES-Pro
Pteroclidae,16.7414,TreePL+CASTLES-Pro
Scolopacidae,22.718,TreePL+CASTLES-Pro
Strigidae,22.3987,TreePL+CASTLES-Pro
Sturnidae,15.1615,TreePL+CASTLES-Pro
Sylviidae,17.8194,TreePL+CASTLES-Pro
Thraupidae,11.3912,TreePL+CASTLES-Pro
Vireonidae,20.8632,TreePL+CASTLES-Pro
